call_duration,correspondent_id,datetime,direction,interaction
36,5167,2014-01-18 19:33:45,in,call
0,5168,2014-01-18 20:06:10,out,call
45,5168,2014-01-18 20:06:22,out,call
,3510,2014-01-19 01:30:46,in,text
,3510,2014-01-19 01:31:27,out,text
,3510,2014-01-19 01:31:57,out,text
,3510,2014-01-19 01:32:20,in,text
,2259,2014-01-19 09:45:56,in,text
0,2259,2014-01-19 11:58:33,out,call
455,2259,2014-01-19 12:11:42,out,call
23,2259,2014-01-19 14:09:45,in,call
11,2259,2014-01-19 14:54:09,in,call
,2259,2014-01-19 18:29:05,out,text
,2259,2014-01-19 18:29:12,out,text
,2259,2014-01-19 18:29:39,out,text
465,2259,2014-01-19 18:30:18,in,call
,2259,2014-01-19 19:45:32,in,text
,3519,2014-01-19 21:00:21,in,text
,991,2014-01-20 11:06:37,in,text
,2259,2014-01-20 11:15:05,out,text
0,2259,2014-01-20 11:15:37,out,call
0,2259,2014-01-20 11:16:02,out,call
60,2259,2014-01-20 11:16:26,in,call
,4583,2014-01-20 12:27:04,in,text
,4583,2014-01-20 12:35:20,out,text
,4583,2014-01-20 12:36:03,in,text
,4583,2014-01-20 12:36:25,out,text
0,2259,2014-01-20 16:54:16,in,call
,991,2014-01-20 16:54:27,in,text
0,2259,2014-01-20 16:54:46,in,call
,991,2014-01-20 16:54:58,in,text
0,2259,2014-01-20 16:55:01,in,call
,1128,2014-01-20 16:55:19,in,text
0,2259,2014-01-20 16:58:32,in,call
,991,2014-01-20 16:58:44,in,text
0,2259,2014-01-20 17:03:03,out,call
174,2259,2014-01-20 17:11:29,out,call
,991,2014-01-20 17:33:14,in,text
299,2259,2014-01-20 19:57:28,in,call
,1128,2014-01-20 20:00:25,in,text
136,2259,2014-01-20 21:07:56,in,call
,4144,2014-01-20 21:38:40,in,text
,4144,2014-01-20 21:38:48,in,text
,4144,2014-01-20 21:45:45,out,text
,4144,2014-01-20 21:48:31,in,text
0,15824,2014-01-21 07:19:24,in,call
,991,2014-01-21 07:19:38,in,text
18,15824,2014-01-21 07:21:21,in,call
3,2259,2014-01-21 12:02:18,out,call
61,2259,2014-01-21 12:13:00,in,call
11,2259,2014-01-21 12:24:57,in,call
23,2259,2014-01-21 12:29:53,in,call
55,2259,2014-01-21 12:42:03,in,call
0,4583,2014-01-21 16:20:16,out,call
2,4583,2014-01-21 16:44:52,out,call
3,2259,2014-01-21 16:45:03,out,call
38,2259,2014-01-21 16:45:35,out,call
,2259,2014-01-21 16:58:52,out,text
444,2259,2014-01-21 16:59:24,in,call
0,2259,2014-01-21 17:21:03,out,call
113,2259,2014-01-21 17:22:56,out,call
2,2259,2014-01-21 18:48:14,out,call
,3510,2014-01-21 19:04:42,in,text
0,2259,2014-01-21 19:34:02,in,call
,991,2014-01-21 19:34:16,in,text
,2259,2014-01-21 19:34:46,in,text
343,2259,2014-01-21 19:55:51,out,call
,2259,2014-01-21 21:18:08,in,text
,2259,2014-01-21 21:53:59,in,text
,2259,2014-01-21 22:16:26,out,text
,2259,2014-01-21 22:17:38,in,text
,991,2014-01-22 00:01:15,in,text
,991,2014-01-22 08:23:30,in,text
0,2259,2014-01-22 08:27:39,out,call
,2259,2014-01-22 08:29:37,in,text
3,2259,2014-01-22 08:39:37,out,call
0,2259,2014-01-22 08:45:16,out,call
,2259,2014-01-22 08:46:14,in,text
112,2259,2014-01-22 10:07:50,out,call
18,23739,2014-01-22 12:03:26,in,call
247,15183,2014-01-22 12:47:18,out,call
,1794,2014-01-22 17:03:24,in,text
8,15183,2014-01-22 17:24:03,out,call
,1794,2014-01-22 17:46:36,out,text
